"id";"question_type";"subject_id";"score";"difficult";"correct";"info_text_content_id";"create_user";"status";"create_time";"deleted"
1;3;1;10;1;"B";1;2;1;"2023-01-13 16:25:39";"0"
2;3;1;10;1;"A";2;2;1;"2023-01-13 16:25:39";"0"
3;3;1;10;1;"A";3;2;1;"2023-01-13 16:25:39";"0"
4;3;1;10;1;"A";4;2;1;"2023-01-13 16:25:39";"0"
5;3;1;10;1;"A";5;2;1;"2023-01-13 16:25:39";"0"
6;3;1;10;1;"B";6;2;1;"2023-01-13 16:25:39";"0"
7;3;1;10;1;"B";7;2;1;"2023-01-13 16:25:39";"0"
8;3;1;10;1;"A";8;2;1;"2023-01-13 16:25:39";"0"
9;3;1;10;1;"B";9;2;1;"2023-01-13 16:25:39";"0"
10;3;1;10;1;"A";10;2;1;"2023-01-13 16:25:39";"0"
11;3;1;10;1;"B";11;2;1;"2023-01-13 16:25:39";"0"
12;3;1;10;1;"A";12;2;1;"2023-01-13 16:25:39";"0"
13;3;1;10;1;"A";13;2;1;"2023-01-13 16:25:39";"0"
14;3;1;10;1;"B";14;2;1;"2023-01-13 16:25:39";"0"
15;3;1;10;1;"B";15;2;1;"2023-01-13 16:25:39";"0"
16;3;1;10;1;"B";16;2;1;"2023-01-13 16:25:39";"0"
17;3;1;10;1;"B";17;2;1;"2023-01-13 16:25:39";"0"
18;3;1;10;1;"A";18;2;1;"2023-01-13 16:25:39";"0"
19;3;1;10;1;"A";19;2;1;"2023-01-13 16:25:39";"0"
20;3;1;10;1;"A";20;2;1;"2023-01-13 16:25:39";"0"
21;3;1;10;1;"A";21;2;1;"2023-01-13 16:25:39";"0"
22;3;1;10;1;"B";22;2;1;"2023-01-13 16:25:39";"0"
23;3;1;10;1;"A";23;2;1;"2023-01-13 16:25:39";"0"
24;3;1;10;1;"B";24;2;1;"2023-01-13 16:25:39";"0"
25;3;1;10;1;"B";25;2;1;"2023-01-13 16:25:39";"0"
26;3;1;10;1;"A";26;2;1;"2023-01-13 16:25:39";"0"
27;3;1;10;1;"A";27;2;1;"2023-01-13 16:25:39";"0"
28;3;1;10;1;"A";28;2;1;"2023-01-13 16:25:39";"0"
29;3;1;10;1;"A";29;2;1;"2023-01-13 16:25:39";"0"
30;3;1;10;1;"B";30;2;1;"2023-01-13 16:25:39";"0"
31;3;1;10;1;"A";31;2;1;"2023-01-13 16:25:39";"0"
32;3;1;10;1;"A";32;2;1;"2023-01-13 16:25:39";"0"
33;3;1;10;1;"B";33;2;1;"2023-01-13 16:25:39";"0"
34;3;1;10;1;"A";34;2;1;"2023-01-13 16:25:39";"0"
35;3;1;10;1;"B";35;2;1;"2023-01-13 16:25:39";"0"
36;3;1;10;1;"B";36;2;1;"2023-01-13 16:25:39";"0"
37;3;1;10;1;"A";37;2;1;"2023-01-13 16:25:39";"0"
38;3;1;10;1;"B";38;2;1;"2023-01-13 16:25:39";"0"
39;3;1;10;1;"B";39;2;1;"2023-01-13 16:25:39";"0"
40;3;1;10;1;"B";40;2;1;"2023-01-13 16:25:39";"0"
41;3;1;10;1;"B";41;2;1;"2023-01-13 16:25:39";"0"
42;3;1;10;1;"A";42;2;1;"2023-01-13 16:25:39";"0"
43;3;1;10;1;"A";43;2;1;"2023-01-13 16:25:39";"0"
44;3;1;10;1;"A";44;2;1;"2023-01-13 16:25:39";"0"
45;3;1;10;1;"A";45;2;1;"2023-01-13 16:25:40";"0"
46;3;1;10;1;"B";46;2;1;"2023-01-13 16:25:40";"0"
47;3;1;10;1;"A";47;2;1;"2023-01-13 16:25:40";"0"
48;3;1;10;1;"A";48;2;1;"2023-01-13 16:25:40";"0"
49;3;1;10;1;"B";49;2;1;"2023-01-13 16:25:40";"0"
50;3;1;10;1;"A";50;2;1;"2023-01-13 16:25:40";"0"
51;3;1;10;1;"B";51;2;1;"2023-01-13 16:25:40";"0"
52;3;1;10;1;"B";52;2;1;"2023-01-13 16:25:40";"0"
53;3;1;10;1;"A";53;2;1;"2023-01-13 16:25:40";"0"
54;3;1;10;1;"B";54;2;1;"2023-01-13 16:25:40";"0"
55;3;1;10;1;"B";55;2;1;"2023-01-13 16:25:40";"0"
56;3;1;10;1;"A";56;2;1;"2023-01-13 16:25:40";"0"
57;3;1;10;1;"B";57;2;1;"2023-01-13 16:25:40";"0"
58;3;1;10;1;"A";58;2;1;"2023-01-13 16:25:40";"0"
59;3;1;10;1;"A";59;2;1;"2023-01-13 16:25:40";"0"
60;3;1;10;1;"A";60;2;1;"2023-01-13 16:25:40";"0"
61;3;1;10;1;"A";61;2;1;"2023-01-13 16:25:40";"0"
62;3;1;10;1;"B";62;2;1;"2023-01-13 16:25:40";"0"
63;3;1;10;1;"B";63;2;1;"2023-01-13 16:25:40";"0"
64;3;1;10;1;"B";64;2;1;"2023-01-13 16:25:40";"0"
65;3;1;10;1;"B";65;2;1;"2023-01-13 16:25:40";"0"
66;3;1;10;1;"A";66;2;1;"2023-01-13 16:25:40";"0"
67;3;1;10;1;"A";67;2;1;"2023-01-13 16:25:40";"0"
68;3;1;10;1;"B";68;2;1;"2023-01-13 16:25:40";"0"
69;3;1;10;1;"A";69;2;1;"2023-01-13 16:25:40";"0"
70;3;1;10;1;"B";70;2;1;"2023-01-13 16:25:40";"0"
71;3;1;10;1;"A";71;2;1;"2023-01-13 16:25:40";"0"
72;3;1;10;1;"A";72;2;1;"2023-01-13 16:25:40";"0"
73;3;1;10;1;"B";73;2;1;"2023-01-13 16:25:40";"0"
74;3;1;10;1;"A";74;2;1;"2023-01-13 16:25:40";"0"
75;3;1;10;1;"B";75;2;1;"2023-01-13 16:25:40";"0"
76;3;1;10;1;"B";76;2;1;"2023-01-13 16:25:40";"0"
77;3;1;10;1;"A";77;2;1;"2023-01-13 16:25:40";"0"
78;3;1;10;1;"B";78;2;1;"2023-01-13 16:25:40";"0"
79;3;1;10;1;"A";79;2;1;"2023-01-13 16:25:40";"0"
80;3;1;10;1;"B";80;2;1;"2023-01-13 16:25:40";"0"
81;3;1;10;1;"B";81;2;1;"2023-01-13 16:25:40";"0"
